Date (DD-MM-YYYY),Lost sector,Planet,Exotic reward,Champions,Burn,Shields,Notes
19-12-2022,K1 Revelation,Moon,Helmet,"Barrier (4 | 7), Unstoppable (3 | 3)",Void,Arc (4 | 1),
20-12-2022,K1 Communion,Moon,Legs,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)",
21-12-2022,Bunker E16,Europa,Arms,"Barrier (1 | 2), Overload (3 | 5)",Void,Void (2 | 2),More Overload champions may spawn if boss isn't taken down quickly.
22-12-2022,Concealed Void,Europa,Chest,"Barrier (1 | 3), Overload (3 | 5)",Solar,"Solar (3 | 3), Void (2 | 2)",
23-12-2022,Perdition,Europa,Helmet,"Barrier (2 | 4), Overload (2 | 2)",Arc,"Arc (20 | 20), Void (2 | 2)",More Arc shielded adds may spawn if boss isn't taken down quickly.
24-12-2022,Sepulcher,Throne World,Legs,"Barrier (3 | 5), Unstoppable (1 | 3)",Solar,"Arc (2 | 2), Solar (1 | 1)",
25-12-2022,Extraction,Throne World,Arms,"Overload (1 | 4), Unstoppable (3 | 3)",Arc,"Arc (7 | 2), Void (5 | 5)",
26-12-2022,Chamber of Starlight,Dreaming City,Chest,"Overload (1 | 3), Unstoppable (3 | 5)",Solar,"Solar (2 | 2), Void (18 | 28)",
27-12-2022,Aphelion's Rest,Dreaming City,Helmet,"Overload (2 | 4), Unstoppable (2 | 3)",Stasis,Void (11 | 10),
28-12-2022,K1 Logistics,Moon,Legs,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)",
29-12-2022,K1 Crew Quarters,Moon,Arms,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10),
30-12-2022,K1 Revelation,Moon,Chest,"Barrier (4 | 7), Unstoppable (3 | 3)",Void,Arc (4 | 1),
31-12-2022,K1 Communion,Moon,Helmet,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)",
01-01-2023,Bunker E17,Europa,Legs,"Barrier (1 | 2), Overload (3 | 5)",Void,Void (2 | 2),More Overload champions may spawn if boss isn't taken down quickly.
02-01-2023,Concealed Void,Europa,Arms,"Barrier (1 | 3), Overload (3 | 5)",Solar,"Solar (3 | 3), Void (2 | 2)",
03-01-2023,Perdition,Europa,Chest,"Barrier (2 | 4), Overload (2 | 2)",Arc,"Arc (20 | 20), Void (2 | 2)",More Arc shielded adds may spawn if boss isn't taken down quickly.
04-01-2023,Sepulcher,Throne World,Helmet,"Barrier (3 | 5), Unstoppable (1 | 3)",Solar,"Arc (2 | 2), Solar (1 | 1)",
05-01-2023,Extraction,Throne World,Legs,"Overload (1 | 4), Unstoppable (3 | 3)",Arc,"Arc (7 | 2), Void (5 | 5)",
06-01-2023,Chamber of Starlight,Dreaming City,Arms,"Overload (1 | 3), Unstoppable (3 | 5)",Solar,"Solar (2 | 2), Void (18 | 28)",
07-01-2023,Aphelion's Rest,Dreaming City,Chest,"Overload (2 | 4), Unstoppable (2 | 3)",Stasis,Void (11 | 10),
08-01-2023,K1 Logistics,Moon,Helmet,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)",
09-01-2023,K1 Crew Quarters,Moon,Legs,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10),
10-01-2023,K1 Revelation,Moon,Arms,"Barrier (4 | 7), Unstoppable (3 | 3)",Void,Arc (4 | 1),
11-01-2023,K1 Communion,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)",
12-01-2023,Bunker E18,Europa,Helmet,"Barrier (1 | 2), Overload (3 | 5)",Void,Void (2 | 2),More Overload champions may spawn if boss isn't taken down quickly.
13-01-2023,Concealed Void,Europa,Legs,"Barrier (1 | 3), Overload (3 | 5)",Solar,"Solar (3 | 3), Void (2 | 2)",
14-01-2023,Perdition,Europa,Arms,"Barrier (2 | 4), Overload (2 | 2)",Arc,"Arc (20 | 20), Void (2 | 2)",More Arc shielded adds may spawn if boss isn't taken down quickly.
15-01-2023,Sepulcher,Throne World,Chest,"Barrier (3 | 5), Unstoppable (1 | 3)",Solar,"Arc (2 | 2), Solar (1 | 1)",
16-01-2023,Extraction,Throne World,Helmet,"Overload (1 | 4), Unstoppable (3 | 3)",Arc,"Arc (7 | 2), Void (5 | 5)",
17-01-2023,Chamber of Starlight,Dreaming City,Legs,"Overload (1 | 3), Unstoppable (3 | 5)",Solar,"Solar (2 | 2), Void (18 | 28)",
18-01-2023,Aphelion's Rest,Dreaming City,Arms,"Overload (2 | 4), Unstoppable (2 | 3)",Stasis,Void (11 | 10),
19-01-2023,K1 Logistics,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)",
20-01-2023,K1 Crew Quarters,Moon,Helmet,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10),
21-01-2023,K1 Revelation,Moon,Legs,"Barrier (4 | 7), Unstoppable (3 | 3)",Void,Arc (4 | 1),
22-01-2023,K1 Communion,Moon,Arms,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)",
23-01-2023,Bunker E19,Europa,Chest,"Barrier (1 | 2), Overload (3 | 5)",Void,Void (2 | 2),More Overload champions may spawn if boss isn't taken down quickly.
24-01-2023,Concealed Void,Europa,Helmet,"Barrier (1 | 3), Overload (3 | 5)",Solar,"Solar (3 | 3), Void (2 | 2)",
25-01-2023,Perdition,Europa,Legs,"Barrier (2 | 4), Overload (2 | 2)",Arc,"Arc (20 | 20), Void (2 | 2)",More Arc shielded adds may spawn if boss isn't taken down quickly.
26-01-2023,Sepulcher,Throne World,Arms,"Barrier (3 | 5), Unstoppable (1 | 3)",Solar,"Arc (2 | 2), Solar (1 | 1)",
27-01-2023,Extraction,Throne World,Chest,"Overload (1 | 4), Unstoppable (3 | 3)",Arc,"Arc (7 | 2), Void (5 | 5)",
28-01-2023,Chamber of Starlight,Dreaming City,Helmet,"Overload (1 | 3), Unstoppable (3 | 5)",Solar,"Solar (2 | 2), Void (18 | 28)",
29-01-2023,Aphelion's Rest,Dreaming City,Legs,"Overload (2 | 4), Unstoppable (2 | 3)",Stasis,Void (11 | 10),
30-01-2023,K1 Logistics,Moon,Arms,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)",
31-01-2023,K1 Crew Quarters,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10),
01-02-2023,K1 Revelation,Moon,Helmet,"Barrier (4 | 7), Unstoppable (3 | 3)",Void,Arc (4 | 1),
02-02-2023,K1 Communion,Moon,Legs,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)",
03-02-2023,Bunker E20,Europa,Arms,"Barrier (1 | 2), Overload (3 | 5)",Void,Void (2 | 2),More Overload champions may spawn if boss isn't taken down quickly.
04-02-2023,Concealed Void,Europa,Chest,"Barrier (1 | 3), Overload (3 | 5)",Solar,"Solar (3 | 3), Void (2 | 2)",
05-02-2023,Perdition,Europa,Helmet,"Barrier (2 | 4), Overload (2 | 2)",Arc,"Arc (20 | 20), Void (2 | 2)",More Arc shielded adds may spawn if boss isn't taken down quickly.
06-02-2023,Sepulcher,Throne World,Legs,"Barrier (3 | 5), Unstoppable (1 | 3)",Solar,"Arc (2 | 2), Solar (1 | 1)",
07-02-2023,Extraction,Throne World,Arms,"Overload (1 | 4), Unstoppable (3 | 3)",Arc,"Arc (7 | 2), Void (5 | 5)",
08-02-2023,Chamber of Starlight,Dreaming City,Chest,"Overload (1 | 3), Unstoppable (3 | 5)",Solar,"Solar (2 | 2), Void (18 | 28)",
09-02-2023,Aphelion's Rest,Dreaming City,Helmet,"Overload (2 | 4), Unstoppable (2 | 3)",Stasis,Void (11 | 10),
10-02-2023,K1 Logistics,Moon,Legs,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)",
11-02-2023,K1 Crew Quarters,Moon,Arms,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10),
12-02-2023,K1 Revelation,Moon,Chest,"Barrier (4 | 7), Unstoppable (3 | 3)",Void,Arc (4 | 1),
13-02-2023,K1 Communion,Moon,Helmet,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)",
14-02-2023,Bunker E21,Europa,Legs,"Barrier (1 | 2), Overload (3 | 5)",Void,Void (2 | 2),More Overload champions may spawn if boss isn't taken down quickly.
15-02-2023,Concealed Void,Europa,Arms,"Barrier (1 | 3), Overload (3 | 5)",Solar,"Solar (3 | 3), Void (2 | 2)",
16-02-2023,Perdition,Europa,Chest,"Barrier (2 | 4), Overload (2 | 2)",Arc,"Arc (20 | 20), Void (2 | 2)",More Arc shielded adds may spawn if boss isn't taken down quickly.
17-02-2023,Sepulcher,Throne World,Helmet,"Barrier (3 | 5), Unstoppable (1 | 3)",Solar,"Arc (2 | 2), Solar (1 | 1)",
18-02-2023,Extraction,Throne World,Legs,"Overload (1 | 4), Unstoppable (3 | 3)",Arc,"Arc (7 | 2), Void (5 | 5)",
19-02-2023,Chamber of Starlight,Dreaming City,Arms,"Overload (1 | 3), Unstoppable (3 | 5)",Solar,"Solar (2 | 2), Void (18 | 28)",
20-02-2023,Aphelion's Rest,Dreaming City,Chest,"Overload (2 | 4), Unstoppable (2 | 3)",Stasis,Void (11 | 10),
21-02-2023,K1 Logistics,Moon,Helmet,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)",
22-02-2023,K1 Crew Quarters,Moon,Legs,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10),
23-02-2023,K1 Revelation,Moon,Arms,"Barrier (4 | 7), Unstoppable (3 | 3)",Void,Arc (4 | 1),
24-02-2023,K1 Communion,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)",
25-02-2023,Bunker E22,Europa,Helmet,"Barrier (1 | 2), Overload (3 | 5)",Void,Void (2 | 2),More Overload champions may spawn if boss isn't taken down quickly.
26-02-2023,Concealed Void,Europa,Legs,"Barrier (1 | 3), Overload (3 | 5)",Solar,"Solar (3 | 3), Void (2 | 2)",
27-02-2023,Perdition,Europa,Arms,"Barrier (2 | 4), Overload (2 | 2)",Arc,"Arc (20 | 20), Void (2 | 2)",More Arc shielded adds may spawn if boss isn't taken down quickly.
