Date (DD-MM-YYYY),Lost sector,Planet,Exotic reward,Champions,Burn,Shields
16-03-2022,Veles Labyrinth,Cosmodrome,Legs,"Barrier (3 | 3), Unstoppable (1 | 4)",Arc,"Arc (4), Solar (2 | 0)"
17-03-2022,Exodus Garden 2A,Cosmodrome,Arms,"Barrier (2 | 5), Overload (3 | 4)",Void,Void (4 | 3)
18-03-2022,Aphelion's Rest,Dreaming City,Chest,"Overload (2 | 4), Unstoppable (2 | 3)",Stasis,Void (11 | 10)
19-03-2022,Bay of Drowned Wishes,Dreaming City,Helmet,"Overload (2 | 3), Unstoppable (3 | 4)",Arc,Void (1)
20-03-2022,Chamber of Starlight,Dreaming City,Legs,"Overload (1 | 3), Unstoppable (3 | 5)",Solar,"Solar (2), Void (18 | 28)"
21-03-2022,K1 Revelation,Moon,Arms,"Barrier (4 | 7), Unstoppable (3)",Void,Arc (4 | 1)
22-03-2022,K1 Crew Quarters,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10)
23-03-2022,K1 Logistics,Moon,Helmet,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3), Solar (8)"
24-03-2022,Metamorphosis,Throne World,Legs,"Overload (3), Unstoppable (2 | 4)",Arc,"Arc (1), Solar (2)"
25-03-2022,Sepulcher,Throne World,Arms,"Barrier (3 | 5), Unstoppable (1 | 3)",Solar,"Arc (2), Solar (1)"
26-03-2022,Extraction,Throne World,Chest,"Overload (1 | 4), Unstoppable (2 | 2)",Arc,"Arc (7 | 2), Void (5 | 5)"
27-03-2022,Veles Labyrinth,Cosmodrome,Helmet,"Barrier (3 | 3), Unstoppable (1 | 4)",Arc,"Arc (4), Solar (2 | 0)"
28-03-2022,Exodus Garden 2A,Cosmodrome,Legs,"Barrier (2 | 5), Overload (3 | 4)",Void,Void (4 | 3)
29-03-2022,Aphelion's Rest,Dreaming City,Arms,"Overload (2 | 4), Unstoppable (2 | 3)",Stasis,Void (11 | 10)
30-03-2022,Bay of Drowned Wishes,Dreaming City,Chest,"Overload (2 | 3), Unstoppable (3 | 4)",Arc,Void (1)
31-03-2022,Chamber of Starlight,Dreaming City,Helmet,"Overload (1 | 3), Unstoppable (3 | 5)",Solar,"Solar (2), Void (18 | 28)"
01-04-2022,K1 Revelation,Moon,Legs,"Barrier (4 | 7), Unstoppable (3)",Void,Arc (4 | 1)
02-04-2022,K1 Crew Quarters,Moon,Arms,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10)
03-04-2022,K1 Logistics,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3), Solar (8)"
04-04-2022,Metamorphosis,Throne World,Helmet,"Overload (3), Unstoppable (2 | 4)",Arc,"Arc (1), Solar (2)"
05-04-2022,Sepulcher,Throne World,Legs,"Barrier (3 | 5), Unstoppable (1 | 3)",Solar,"Arc (2), Solar (1)"
06-04-2022,Extraction,Throne World,Arms,"Overload (1 | 4), Unstoppable (2 | 2)",Arc,"Arc (7 | 2), Void (5 | 5)"
07-04-2022,Veles Labyrinth,Cosmodrome,Chest,"Barrier (3 | 3), Unstoppable (1 | 4)",Arc,"Arc (4), Solar (2 | 0)"
08-04-2022,Exodus Garden 2A,Cosmodrome,Helmet,"Barrier (2 | 5), Overload (3 | 4)",Void,Void (4 | 3)
09-04-2022,Aphelion's Rest,Dreaming City,Legs,"Overload (2 | 4), Unstoppable (2 | 3)",Stasis,Void (11 | 10)
10-04-2022,Bay of Drowned Wishes,Dreaming City,Arms,"Overload (2 | 3), Unstoppable (3 | 4)",Arc,Void (1)
11-04-2022,Chamber of Starlight,Dreaming City,Chest,"Overload (1 | 3), Unstoppable (3 | 5)",Solar,"Solar (2), Void (18 | 28)"
12-04-2022,K1 Revelation,Moon,Helmet,"Barrier (4 | 7), Unstoppable (3)",Void,Arc (4 | 1)
13-04-2022,K1 Crew Quarters,Moon,Legs,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10)
14-04-2022,K1 Logistics,Moon,Arms,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3), Solar (8)"
15-04-2022,Metamorphosis,Throne World,Chest,"Overload (3), Unstoppable (2 | 4)",Arc,"Arc (1), Solar (2)"
16-04-2022,Sepulcher,Throne World,Helmet,"Barrier (3 | 5), Unstoppable (1 | 3)",Solar,"Arc (2), Solar (1)"
17-04-2022,Extraction,Throne World,Legs,"Overload (1 | 4), Unstoppable (2 | 2)",Arc,"Arc (7 | 2), Void (5 | 5)"
18-04-2022,Veles Labyrinth,Cosmodrome,Arms,"Barrier (3 | 3), Unstoppable (1 | 4)",Arc,"Arc (4), Solar (2 | 0)"
19-04-2022,Exodus Garden 2A,Cosmodrome,Chest,"Barrier (2 | 5), Overload (3 | 4)",Void,Void (4 | 3)
20-04-2022,Aphelion's Rest,Dreaming City,Helmet,"Overload (2 | 4), Unstoppable (2 | 3)",Stasis,Void (11 | 10)
21-04-2022,Bay of Drowned Wishes,Dreaming City,Legs,"Overload (2 | 3), Unstoppable (3 | 4)",Arc,Void (1)
22-04-2022,Chamber of Starlight,Dreaming City,Arms,"Overload (1 | 3), Unstoppable (3 | 5)",Solar,"Solar (2), Void (18 | 28)"
23-04-2022,K1 Revelation,Moon,Chest,"Barrier (4 | 7), Unstoppable (3)",Void,Arc (4 | 1)
24-04-2022,K1 Crew Quarters,Moon,Helmet,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10)
25-04-2022,K1 Logistics,Moon,Legs,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3), Solar (8)"
26-04-2022,Metamorphosis,Throne World,Arms,"Overload (3), Unstoppable (2 | 4)",Arc,"Arc (1), Solar (2)"
27-04-2022,Sepulcher,Throne World,Chest,"Barrier (3 | 5), Unstoppable (1 | 3)",Solar,"Arc (2), Solar (1)"
28-04-2022,Extraction,Throne World,Helmet,"Overload (1 | 4), Unstoppable (2 | 2)",Arc,"Arc (7 | 2), Void (5 | 5)"
29-04-2022,Veles Labyrinth,Cosmodrome,Legs,"Barrier (3 | 3), Unstoppable (1 | 4)",Arc,"Arc (4), Solar (2 | 0)"
30-04-2022,Exodus Garden 2A,Cosmodrome,Arms,"Barrier (2 | 5), Overload (3 | 4)",Void,Void (4 | 3)
01-05-2022,Aphelion's Rest,Dreaming City,Chest,"Overload (2 | 4), Unstoppable (2 | 3)",Stasis,Void (11 | 10)
02-05-2022,Bay of Drowned Wishes,Dreaming City,Helmet,"Overload (2 | 3), Unstoppable (3 | 4)",Arc,Void (1)
03-05-2022,Chamber of Starlight,Dreaming City,Legs,"Overload (1 | 3), Unstoppable (3 | 5)",Solar,"Solar (2), Void (18 | 28)"
04-05-2022,K1 Revelation,Moon,Arms,"Barrier (4 | 7), Unstoppable (3)",Void,Arc (4 | 1)
05-05-2022,K1 Crew Quarters,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10)
06-05-2022,K1 Logistics,Moon,Helmet,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3), Solar (8)"
07-05-2022,Metamorphosis,Throne World,Legs,"Overload (3), Unstoppable (2 | 4)",Arc,"Arc (1), Solar (2)"
08-05-2022,Sepulcher,Throne World,Arms,"Barrier (3 | 5), Unstoppable (1 | 3)",Solar,"Arc (2), Solar (1)"
09-05-2022,Extraction,Throne World,Chest,"Overload (1 | 4), Unstoppable (2 | 2)",Arc,"Arc (7 | 2), Void (5 | 5)"
10-05-2022,Veles Labyrinth,Cosmodrome,Helmet,"Barrier (3 | 3), Unstoppable (1 | 4)",Arc,"Arc (4), Solar (2 | 0)"
11-05-2022,Exodus Garden 2A,Cosmodrome,Legs,"Barrier (2 | 5), Overload (3 | 4)",Void,Void (4 | 3)
12-05-2022,Aphelion's Rest,Dreaming City,Arms,"Overload (2 | 4), Unstoppable (2 | 3)",Stasis,Void (11 | 10)
13-05-2022,Bay of Drowned Wishes,Dreaming City,Chest,"Overload (2 | 3), Unstoppable (3 | 4)",Arc,Void (1)
14-05-2022,Chamber of Starlight,Dreaming City,Helmet,"Overload (1 | 3), Unstoppable (3 | 5)",Solar,"Solar (2), Void (18 | 28)"
15-05-2022,K1 Revelation,Moon,Legs,"Barrier (4 | 7), Unstoppable (3)",Void,Arc (4 | 1)
16-05-2022,K1 Crew Quarters,Moon,Arms,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10)
17-05-2022,K1 Logistics,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3), Solar (8)"
18-05-2022,Metamorphosis,Throne World,Helmet,"Overload (3), Unstoppable (2 | 4)",Arc,"Arc (1), Solar (2)"
19-05-2022,Sepulcher,Throne World,Legs,"Barrier (3 | 5), Unstoppable (1 | 3)",Solar,"Arc (2), Solar (1)"
20-05-2022,Extraction,Throne World,Arms,"Overload (1 | 4), Unstoppable (2 | 2)",Arc,"Arc (7 | 2), Void (5 | 5)"
21-05-2022,Veles Labyrinth,Cosmodrome,Chest,"Barrier (3 | 3), Unstoppable (1 | 4)",Arc,"Arc (4), Solar (2 | 0)"
22-05-2022,Exodus Garden 2A,Cosmodrome,Helmet,"Barrier (2 | 5), Overload (3 | 4)",Void,Void (4 | 3)
23-05-2022,Aphelion's Rest,Dreaming City,Legs,"Overload (2 | 4), Unstoppable (2 | 3)",Stasis,Void (11 | 10)
