Date (DD-MM-YYYY),Lost sector,Planet,Exotic reward,Champions,Burn,Shields
07-09-2022,K1 Crew Quarters,Moon,Arms,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10)
08-09-2022,K1 Logistics,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)"
09-09-2022,K1 Communion,Moon,Helmet,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)"
10-09-2022,Skydock IV,EDZ,Legs,"Barrier (1 | 1), Unstoppable (3 | 5)",Solar,Void (4 | 2)
11-09-2022,Scavenger's Den,EDZ,Arms,"Barrier (2 | 3), Overload (3 | 7)",Solar,Arc (1 | 1)
12-09-2022,The Quarry,EDZ,Chest,"Barrier (2 | 4), Unstoppable (2 | 4)",Void,"Solar (1 | 1), Void (1 | 0)"
13-09-2022,Excavation Site XII,EDZ,Helmet,"Barrier (1 | 2), Unstoppable (3 | 5)",Solar,None
14-09-2022,Concealed Void,Europa,Legs,"Barrier (1 | 3), Overload (3 | 5)",Solar,"Solar (3 | 3), Void (2 | 2)"
15-09-2022,Bunker E15,Europa,Arms,"Barrier (1 | 2), Overload (3+ | 5)",Void,Void (2 | 2)
16-09-2022,Perdition,Europa,Chest,"Barrier (2 | 4), Overload (2 | 2)",Arc,"Arc (20+ | 20+), Void (2 | 2)"
17-09-2022,The Conflux,Nessus,Helmet,"Barrier (2 | 3), Unstoppable (2 | 3)",Solar,Void (10 | 10)
18-09-2022,K1 Crew Quarters,Moon,Legs,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10)
19-09-2022,K1 Logistics,Moon,Arms,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)"
20-09-2022,K1 Communion,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)"
21-09-2022,Skydock IV,EDZ,Helmet,"Barrier (1 | 1), Unstoppable (3 | 5)",Solar,Void (4 | 2)
22-09-2022,Scavenger's Den,EDZ,Legs,"Barrier (2 | 3), Overload (3 | 7)",Solar,Arc (1 | 1)
23-09-2022,The Quarry,EDZ,Chest,"Barrier (2 | 4), Unstoppable (2 | 4)",Void,"Solar (1 | 1), Void (1 | 0)"
24-09-2022,Excavation Site XII,EDZ,Helmet,"Barrier (1 | 2), Unstoppable (3 | 5)",Solar,None
25-09-2022,Concealed Void,Europa,Legs,"Barrier (1 | 3), Overload (3 | 5)",Solar,"Solar (3 | 3), Void (2 | 2)"
26-09-2022,Bunker E15,Europa,Arms,"Barrier (1 | 2), Overload (3+ | 5)",Void,Void (2 | 2)
27-09-2022,Perdition,Europa,Chest,"Barrier (2 | 4), Overload (2 | 2)",Arc,"Arc (20+ | 20+), Void (2 | 2)"
28-09-2022,The Conflux,Nessus,Helmet,"Barrier (2 | 3), Unstoppable (2 | 3)",Solar,Void (10 | 10)
29-09-2022,K1 Crew Quarters,Moon,Legs,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10)
30-09-2022,K1 Logistics,Moon,Arms,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)"
01-10-2022,K1 Communion,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)"
02-10-2022,Skydock IV,EDZ,Helmet,"Barrier (1 | 1), Unstoppable (3 | 5)",Solar,Void (4 | 2)
03-10-2022,Scavenger's Den,EDZ,Legs,"Barrier (2 | 3), Overload (3 | 7)",Solar,Arc (1 | 1)
04-10-2022,The Quarry,EDZ,Arms,"Barrier (2 | 4), Unstoppable (2 | 4)",Void,"Solar (1 | 1), Void (1 | 0)"
05-10-2022,Excavation Site XII,EDZ,Chest,"Barrier (1 | 2), Unstoppable (3 | 5)",Solar,None
06-10-2022,Concealed Void,Europa,Helmet,"Barrier (1 | 3), Overload (3 | 5)",Solar,"Solar (3 | 3), Void (2 | 2)"
07-10-2022,Bunker E15,Europa,Legs,"Barrier (1 | 2), Overload (3+ | 5)",Void,Void (2 | 2)
08-10-2022,Perdition,Europa,Arms,"Barrier (2 | 4), Overload (2 | 2)",Arc,"Arc (20+ | 20+), Void (2 | 2)"
09-10-2022,The Conflux,Nessus,Chest,"Barrier (2 | 3), Unstoppable (2 | 3)",Solar,Void (10 | 10)
10-10-2022,K1 Crew Quarters,Moon,Helmet,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10)
11-10-2022,K1 Logistics,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)"
12-10-2022,K1 Communion,Moon,Helmet,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)"
13-10-2022,Skydock IV,EDZ,Legs,"Barrier (1 | 1), Unstoppable (3 | 5)",Solar,Void (4 | 2)
14-10-2022,Scavenger's Den,EDZ,Arms,"Barrier (2 | 3), Overload (3 | 7)",Solar,Arc (1 | 1)
15-10-2022,The Quarry,EDZ,Chest,"Barrier (2 | 4), Unstoppable (2 | 4)",Void,"Solar (1 | 1), Void (1 | 0)"
16-10-2022,Excavation Site XII,EDZ,Helmet,"Barrier (1 | 2), Unstoppable (3 | 5)",Solar,None
17-10-2022,Concealed Void,Europa,Legs,"Barrier (1 | 3), Overload (3 | 5)",Solar,"Solar (3 | 3), Void (2 | 2)"
18-10-2022,Bunker E15,Europa,Arms,"Barrier (1 | 2), Overload (3+ | 5)",Void,Void (2 | 2)
19-10-2022,Perdition,Europa,Chest,"Barrier (2 | 4), Overload (2 | 2)",Arc,"Arc (20+ | 20+), Void (2 | 2)"
20-10-2022,The Conflux,Nessus,Helmet,"Barrier (2 | 3), Unstoppable (2 | 3)",Solar,Void (10 | 10)
21-10-2022,K1 Crew Quarters,Moon,Legs,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10)
22-10-2022,K1 Logistics,Moon,Arms,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)"
23-10-2022,K1 Communion,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)"
24-10-2022,Skydock IV,EDZ,Helmet,"Barrier (1 | 1), Unstoppable (3 | 5)",Solar,Void (4 | 2)
25-10-2022,Scavenger's Den,EDZ,Legs,"Barrier (2 | 3), Overload (3 | 7)",Solar,Arc (1 | 1)
26-10-2022,The Quarry,EDZ,Arms,"Barrier (2 | 4), Unstoppable (2 | 4)",Void,"Solar (1 | 1), Void (1 | 0)"
27-10-2022,Excavation Site XII,EDZ,Chest,"Barrier (1 | 2), Unstoppable (3 | 5)",Solar,None
28-10-2022,Concealed Void,Europa,Helmet,"Barrier (1 | 3), Overload (3 | 5)",Solar,"Solar (3 | 3), Void (2 | 2)"
29-10-2022,Bunker E15,Europa,Legs,"Barrier (1 | 2), Overload (3+ | 5)",Void,Void (2 | 2)
30-10-2022,Perdition,Europa,Arms,"Barrier (2 | 4), Overload (2 | 2)",Arc,"Arc (20+ | 20+), Void (2 | 2)"
31-10-2022,The Conflux,Nessus,Chest,"Barrier (2 | 3), Unstoppable (2 | 3)",Solar,Void (10 | 10)
01-11-2022,K1 Crew Quarters,Moon,Helmet,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10)
02-11-2022,K1 Logistics,Moon,Legs,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)"
03-11-2022,K1 Communion,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)"
04-11-2022,Skydock IV,EDZ,Helmet,"Barrier (1 | 1), Unstoppable (3 | 5)",Solar,Void (4 | 2)
05-11-2022,Scavenger's Den,EDZ,Legs,"Barrier (2 | 3), Overload (3 | 7)",Solar,Arc (1 | 1)
06-11-2022,The Quarry,EDZ,Arms,"Barrier (2 | 4), Unstoppable (2 | 4)",Void,"Solar (1 | 1), Void (1 | 0)"
07-11-2022,Excavation Site XII,EDZ,Chest,"Barrier (1 | 2), Unstoppable (3 | 5)",Solar,None
08-11-2022,Concealed Void,Europa,Helmet,"Barrier (1 | 3), Overload (3 | 5)",Solar,"Solar (3 | 3), Void (2 | 2)"
09-11-2022,Bunker E15,Europa,Legs,"Barrier (1 | 2), Overload (3+ | 5)",Void,Void (2 | 2)
10-11-2022,Perdition,Europa,Arms,"Barrier (2 | 4), Overload (2 | 2)",Arc,"Arc (20+ | 20+), Void (2 | 2)"
11-11-2022,The Conflux,Nessus,Chest,"Barrier (2 | 3), Unstoppable (2 | 3)",Solar,Void (10 | 10)
12-11-2022,K1 Crew Quarters,Moon,Helmet,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10)
13-11-2022,K1 Logistics,Moon,Legs,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)"
14-11-2022,K1 Communion,Moon,Arms,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)"
15-11-2022,Skydock IV,EDZ,Chest,"Barrier (1 | 1), Unstoppable (3 | 5)",Solar,Void (4 | 2)
16-11-2022,Scavenger's Den,EDZ,Helmet,"Barrier (2 | 3), Overload (3 | 7)",Solar,Arc (1 | 1)
17-11-2022,The Quarry,EDZ,Legs,"Barrier (2 | 4), Unstoppable (2 | 4)",Void,"Solar (1 | 1), Void (1 | 0)"
18-11-2022,Excavation Site XII,EDZ,Arms,"Barrier (1 | 2), Unstoppable (3 | 5)",Solar,None
19-11-2022,Concealed Void,Europa,Chest,"Barrier (1 | 3), Overload (3 | 5)",Solar,"Solar (3 | 3), Void (2 | 2)"
20-11-2022,Bunker E15,Europa,Helmet,"Barrier (1 | 2), Overload (3+ | 5)",Void,Void (2 | 2)
21-11-2022,Perdition,Europa,Legs,"Barrier (2 | 4), Overload (2 | 2)",Arc,"Arc (20+ | 20+), Void (2 | 2)"
22-11-2022,The Conflux,Nessus,Arms,"Barrier (2 | 3), Unstoppable (2 | 3)",Solar,Void (10 | 10)
23-11-2022,K1 Crew Quarters,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10)
24-11-2022,K1 Logistics,Moon,Helmet,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)"
25-11-2022,K1 Communion,Moon,Legs,"Barrier (3 | 4), Overload (2 | 6)",Solar,"Solar (1 | 1), Void (2 | 0)"
26-11-2022,Skydock IV,EDZ,Arms,"Barrier (1 | 1), Unstoppable (3 | 5)",Solar,Void (4 | 2)
27-11-2022,Scavenger's Den,EDZ,Chest,"Barrier (2 | 3), Overload (3 | 7)",Solar,Arc (1 | 1)
28-11-2022,The Quarry,EDZ,Helmet,"Barrier (2 | 4), Unstoppable (2 | 4)",Void,"Solar (1 | 1), Void (1 | 0)"
29-11-2022,Excavation Site XII,EDZ,Legs,"Barrier (1 | 2), Unstoppable (3 | 5)",Solar,None
30-11-2022,Concealed Void,Europa,Arms,"Barrier (1 | 3), Overload (3 | 5)",Solar,"Solar (3 | 3), Void (2 | 2)"
01-12-2022,Bunker E15,Europa,Chest,"Barrier (1 | 2), Overload (3+ | 5)",Void,Void (2 | 2)
02-12-2022,Perdition,Europa,Helmet,"Barrier (2 | 4), Overload (2 | 2)",Arc,"Arc (20+ | 20+), Void (2 | 2)"
03-12-2022,The Conflux,Nessus,Legs,"Barrier (2 | 3), Unstoppable (2 | 3)",Solar,Void (10 | 10)
04-12-2022,K1 Crew Quarters,Moon,Arms,"Barrier (3 | 4), Overload (2 | 6)",Arc,Solar (10 | 10)
05-12-2022,K1 Logistics,Moon,Chest,"Barrier (3 | 4), Overload (2 | 6)",Void,"Arc (3 | 3), Solar (8 | 8)"
